id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4399,1021.0952,1643.7411,0.40897093,-0.31265506,0.50913754,25,0,12,1.6299337,-0.53042486
4400,1232.7312,1643.4855,0.62837975,-0.33157611,0.67051542,25,0,8,1.1090353,-0.11236338
4401,3494.9061,1644.3847,0.50844399,-0.15960991,0.11681521,25,0,43,7.7173176,-2.2186659
4402,7918.6289,1644.422,0.33467644,0.17559181,0.13384684,25,0,15,2.3086321,-0.90838684
4403,3866.6696,1644.8561,0.48945473,-0.22245187,-0.10981878,25,0,17,3.0024025,-1.1936723
4404,4461.7098,1645.5548,0.51007565,-0.57153529,0.13565428,25,0,10,1.9899856,-0.74712483
4405,6603.2833,1644.6454,0.48171922,0.11851169,-0.10694418,25,0,26,4.4029503,-1.6093595
4406,6790.1419,1644.7466,0.49589202,-0.42615923,-0.15377707,25,0,12,2.1996577,-0.85588775
4407,8582.3003,1645.7474,0.33273217,-0.22619538,-0.19612475,25,0,8,1.2293589,-0.22419673
4408,4274.25,1646.5488,0.57815932,-0.02848029,0.18252672,25,0,32,5.7648082,-1.9019622
4409,4425.688,1646.5554,0.50274622,-0.64515752,0.212723,25,0,17,3.2243686,-1.2711117
4410,4690.3152,1646.1851,0.55198419,-0.092419043,-0.03551289,25,0,46,8.5357847,-2.3281086
4411,9243.2148,1644.9947,0.46513636,0.5744409,0.96572518,25,0,9,1.4005476,-0.3657447
4412,363.67852,1647.1091,0.4674388,-0.54754508,0.99308216,25,0,15,2.041858,-0.77506382
4413,1094.9199,1648.3085,0.45616747,-0.44758916,0.48553312,25,0,19,2.7897463,-1.1139118
4414,2948.648,1648.2764,0.51778616,-0.48553973,0.10893113,25,0,15,2.6918268,-1.0751178
4415,5878.8149,1648.1717,0.41972236,-0.3692542,-0.012810252,25,0,13,2.5988433,-1.0369503
4416,6160.9669,1647.8434,0.28708354,0.054791734,0.036460439,25,0,5,1.002663,-0.0028874902
4417,8751.7885,1647.6958,0.42136775,0.85297638,0.57782871,25,0,235,30.165489,-3.6987759
4418,363.33053,1647.8339,0.47500942,-0.11125126,0.87044981,25,0,14,2.360148,-0.93234807
4419,2548.9472,1649.261,0.5116636,-0.27156168,0.22106496,25,0,237,39.468929,-3.9906384
4420,4013.7197,1648.7392,0.51689175,0.079829961,-0.011450016,25,0,121,20.956375,-3.3032904
4421,4711.896,1649.5213,0.52890991,-0.10229065,0.11796005,25,0,52,9.5669718,-2.4519362
4422,8330.9539,1649.2207,0.42114478,0.78523093,0.55808486,25,0,14,1.9425493,-0.72093015
4423,5967.9674,1649.898,0.59371302,-0.37005919,-0.053372709,25,0,21,3.7510295,-1.4353762
4424,8008.6495,1649.6503,0.48901597,0.34435707,0.098291541,25,0,18,2.8192141,-1.1253201
4425,46.79934,1650.6011,0.42881757,-0.40469167,0.57680129,25,0,8,1.3778493,-0.34800433
4426,3281.6289,1651.2776,0.50542514,-0.47561592,0.074512747,25,0,88,15.137155,-2.9501106
4427,7119.6989,1650.6074,0.46806215,0.29339007,0.044972222,25,0,182,28.806879,-3.6487405
4428,4290.0394,1651.5356,0.59521833,-0.048195422,0.044412479,25,0,25,4.1996913,-1.5580434
