id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
157 105.96671 2306.8909 0.47801805 0.041829053 0.058862459 25 0 593.81476 2.6622674 -1.0631292
158 1943.9028 2333.3061 0.39733339 0.16213974 0.10467843 25 0 480.94336 2.2701228 -0.89012336
159 1054.1147 2373.7273 0.55002111 0.03258121 0.19226006 25 0 1186.3271 5.0513115 -1.7585104
160 2560.2342 2415.5364 0.53769413 0.2651138 0.20541766 25 0 10798.792 45.496376 -4.144942
161 485.77108 2415.71 0.51571423 0.0042052479 0.12591123 25 0 1492.5687 6.4294348 -2.020432
162 3299.6449 2423.4201 0.40775711 0.4928796 0.21144261 25 0 447.52975 1.7216287 -0.58984871
163 383.06727 2432.484 0.50301148 -0.04706277 0.22991856 25 0 2258.0105 9.9351358 -2.4929345
164 2870.3398 2454.9567 0.42798733 -0.030338999 0.062962391 25 0 427.58923 2.0344071 -0.77109468
165 799.60285 2461.1487 0.40654658 -0.17601997 0.033705827 25 0 356.09692 1.7204911 -0.58913105
166 1964.1378 2519.538 0.40340218 -0.025828598 0.1998878 25 0 265.61298 1.321085 -0.30232688
